AV,HAHB,PABHA
0.0,2.85,0.162
0.1,2.94859,0.170286
0.2,3.05058,0.178996
0.3,3.15611,0.188152
0.4,3.26529,0.197776
0.5,3.37824,0.207892
0.6,3.4951,0.218525
0.7,3.616,0.229703
0.8,3.74108,0.241452
0.9,3.87049,0.253802
1.0,4.00438,0.266784
1.1,4.1429,0.28043
1.2,4.28621,0.294773
1.3,4.43448,0.309851
1.4,4.58788,0.3257
1.5,4.74658,0.342359
1.6,4.91077,0.35987
1.7,5.08065,0.378278
1.8,5.2564,0.397626
1.9,5.43822,0.417965
2.0,5.62634,0.439343
2.1,5.82097,0.461815
2.2,6.02233,0.485437
2.3,6.23065,0.510267
2.4,6.44618,0.536367
2.5,6.66917,0.563801
2.6,6.89986,0.592639
2.7,7.13854,0.622953
2.8,7.38548,0.654816
2.9,7.64096,0.68831
3.0,7.90527,0.723516
