,ID,PAB_FLUX,PAB_FLUX_ERR,HA_FLUX,HA_FLUX_ERR,HB_FLUX,HB_FLUX_ERR
0,37683,3.90784669065083e-17,1.36705420761725e-17,3.4436196795913916e-16,1.030705521610419e-17,8.649981548444956e-17,4.470485855567289e-18
1,19221,1.94455052485546e-16,2.1267792505469402e-17,2.0133707651242035e-15,1.669613222046546e-17,4.3045103679476336e-16,1.0305037493773254e-17
2,15610,1.45205503956923e-16,2.3171394453832803e-17,4.603478015812377e-16,1.109501844363997e-17,1.422610708594178e-16,7.240891832452856e-18
3,18157,3.88996026806824e-17,1.62764684413804e-17,1.9274809451399934e-16,1.5979438803257367e-17,2.660664366993103e-17,7.834859587597203e-18
4,34456,2.7507629400000003e-16,2.86222911e-17,1.6823626312292062e-16,1.0714401642206283e-17,1.931610747716816e-17,1.758477894983673e-17
5,34157,2.8282754340473304e-16,2.68852447315662e-17,2.13854625010473e-16,8.603460259637924e-18,4.6786294170203105e-17,4.6818634926541964e-18
6,33511,4.37180834323876e-17,1.1877286525587202e-17,7.863099399396354e-17,4.879107530547093e-18,1.9751212690954765e-17,4.924150260740336e-18
7,34368,4.1323714787567e-17,9.95736555171028e-18,3.308170981894769e-16,1.0229413497011015e-17,7.072744144882365e-17,8.376475784492018e-18
8,35455,8.1653774546896e-18,5.576697608683531e-18,2.4034493189143165e-16,1.479173532447037e-17,5.5059842997676265e-17,7.194570729028161e-18
9,24611,3.9946528197428805e-17,1.63838167271188e-17,7.994282885465235e-17,1.000022160949096e-17,1.1292224718054735e-17,4.475259565680678e-18
10,33249,3.122788098889491e-17,7.94631487723119e-18,4.618272700435888e-17,3.210444409496561e-18,2.480159284442765e-17,5.238050691521288e-18
