,FIELD,ID,RA_x,DEC_x,Z_50
0,GN1,37683,189.30608926,62.360349807,0.2774810736218118
1,GN2,19221,189.20126644,62.240701729,0.1396305993941193
2,GN2,15610,189.21272212,62.222423294,0.1992416776871956
3,GN2,18157,189.18229328,62.23245815499999,0.1968138893998585
4,GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829
5,GN3,34456,189.33981288,62.324291407,0.2243199370050017
6,GN3,34157,189.20682581,62.321196204,0.2451193635943251
7,GN3,33397,189.17546982,62.314346623,0.245052751020829
8,GN3,33511,189.23454989,62.31476841,0.2564012777548507
9,GN3,34368,189.33852596,62.32096804899998,0.2284243630292977
10,GN3,34077,189.21093005,62.317701301,0.2481206951851821
11,GN3,35455,189.33207441,62.32866916999999,0.2059586465931771
12,GN4,24611,189.3590578192805,62.26414012808544,0.2623648743074986
13,GN4,27689,189.25178857,62.27917241099998,0.1075989215276381
14,GN5,33249,189.2077221527124,62.31109623777222,0.2343339459532293
0,GS2,45518,53.154086915,-27.69792974,0.2818814162464867
1,GS2,49771,53.140583777,-27.67298104899999,0.2749025730921826
2,GS3,37720,53.13910594400036,-27.73030499000032,0.1057641937295049
3,GS3,41882,53.17334823800001,-27.71496352199999,0.2372331423645062
4,GS3,40457,53.160331574,-27.720494582,0.1381881134665205
5,GS3,36009,53.13949235500003,-27.74177221500002,0.1457451428687669
6,GS3,42593,53.155797828,-27.71195152799999,0.2447388634159697
7,GS3,38727,53.177301217,-27.730087614,0.1908128143263283
8,GS3,35433,53.14152524699999,-27.745829142,0.2563797685002024
9,GS3,37608,53.17089271399998,-27.73565032400001,0.1599141702341826
10,GS3,34682,53.15581561199998,-27.749144039,0.1040482993612412
11,GS3,39564,53.17732428600002,-27.72556110799999,0.2528897508817713
12,GS4,27438,53.19392920055293,-27.78579541612264,0.1139344822334479
13,GS4,27549,53.14471326884141,-27.78544132748693,0.2466535626540622
14,GS4,26639,53.14211591688386,-27.78669472504702,0.2287977853651849
15,GS4,26696,53.19564104531577,-27.78777124362778,0.2263884209328076
16,GS4,25632,53.15463536626137,-27.79323794081716,0.2326235439075441
17,GS4,26646,53.18153215101032,-27.78797073500447,0.1998051779170048
18,GS4,27535,53.17032351500001,-27.78526213799999,0.2765414173313187
19,GS4,26559,53.14984075026587,-27.78744274151697,0.2443045496376177
20,GS5,43071,53.122589312,-27.707907687,0.1608178570662489
21,ERSPRIME,39634,53.07823745299999,-27.724923823,0.193187218594363
22,ERSPRIME,44465,53.05033966000001,-27.703407744,0.2433704904256431
23,ERSPRIME,42502,53.06568401450761,-27.71184852348733,0.203935072018745
